index,LocationType,TimeFrame_x,DataFormat_CI,Num of Child Immigrants,Location,Time,Data Type,TimeFrame_UE,DataFormat_UE,Number of Unemployed Parents
132,State,2000-2002,Number,206000,Maryland,January,Percent,2011,Percent,0.078
133,State,2000-2002,Number,206000,Maryland,February,Percent,2011,Percent,0.076
134,State,2000-2002,Number,206000,Maryland,March,Percent,2011,Percent,0.073
135,State,2000-2002,Number,206000,Maryland,April,Percent,2011,Percent,0.069
136,State,2000-2002,Number,206000,Maryland,May,Percent,2011,Percent,0.071
137,State,2000-2002,Number,206000,Maryland,June,Percent,2011,Percent,0.076
138,State,2000-2002,Number,206000,Maryland,July,Percent,2011,Percent,0.075
139,State,2000-2002,Number,206000,Maryland,August,Percent,2011,Percent,0.074
140,State,2000-2002,Number,206000,Maryland,September,Percent,2011,Percent,0.072
141,State,2000-2002,Number,206000,Maryland,October,Percent,2011,Percent,0.07
142,State,2000-2002,Number,206000,Maryland,November,Percent,2011,Percent,0.068
143,State,2000-2002,Number,206000,Maryland,December,Percent,2011,Percent,0.068
144,State,2000-2002,Number,206000,Maryland,January,Percent,2012,Percent,0.074
145,State,2000-2002,Number,206000,Maryland,February,Percent,2012,Percent,0.074
146,State,2000-2002,Number,206000,Maryland,March,Percent,2012,Percent,0.07
147,State,2000-2002,Number,206000,Maryland,April,Percent,2012,Percent,0.065
148,State,2000-2002,Number,206000,Maryland,May,Percent,2012,Percent,0.068
149,State,2000-2002,Number,206000,Maryland,June,Percent,2012,Percent,0.073
150,State,2000-2002,Number,206000,Maryland,July,Percent,2012,Percent,0.073
151,State,2000-2002,Number,206000,Maryland,August,Percent,2012,Percent,0.071
152,State,2000-2002,Number,206000,Maryland,September,Percent,2012,Percent,0.067
153,State,2000-2002,Number,206000,Maryland,October,Percent,2012,Percent,0.067
154,State,2000-2002,Number,206000,Maryland,November,Percent,2012,Percent,0.066
155,State,2000-2002,Number,206000,Maryland,December,Percent,2012,Percent,0.067
156,State,2000-2002,Number,206000,Maryland,January,Percent,2013,Percent,0.073
157,State,2000-2002,Number,206000,Maryland,February,Percent,2013,Percent,0.071
158,State,2000-2002,Number,206000,Maryland,March,Percent,2013,Percent,0.068
159,State,2000-2002,Number,206000,Maryland,April,Percent,2013,Percent,0.063
160,State,2000-2002,Number,206000,Maryland,May,Percent,2013,Percent,0.066
161,State,2000-2002,Number,206000,Maryland,June,Percent,2013,Percent,0.07
162,State,2000-2002,Number,206000,Maryland,July,Percent,2013,Percent,0.067
163,State,2000-2002,Number,206000,Maryland,August,Percent,2013,Percent,0.065
164,State,2000-2002,Number,206000,Maryland,September,Percent,2013,Percent,0.062
165,State,2000-2002,Number,206000,Maryland,October,Percent,2013,Percent,0.065
166,State,2000-2002,Number,206000,Maryland,November,Percent,2013,Percent,0.061
167,State,2000-2002,Number,206000,Maryland,December,Percent,2013,Percent,0.058
168,State,2000-2002,Number,206000,Maryland,January,Percent,2014,Percent,0.064
169,State,2000-2002,Number,206000,Maryland,February,Percent,2014,Percent,0.064
170,State,2000-2002,Number,206000,Maryland,March,Percent,2014,Percent,0.061
171,State,2000-2002,Number,206000,Maryland,April,Percent,2014,Percent,0.054
172,State,2000-2002,Number,206000,Maryland,May,Percent,2014,Percent,0.057
173,State,2000-2002,Number,206000,Maryland,June,Percent,2014,Percent,0.06
174,State,2000-2002,Number,206000,Maryland,July,Percent,2014,Percent,0.061
175,State,2000-2002,Number,206000,Maryland,August,Percent,2014,Percent,0.059
176,State,2000-2002,Number,206000,Maryland,September,Percent,2014,Percent,0.055
177,State,2000-2002,Number,206000,Maryland,October,Percent,2014,Percent,0.055
178,State,2000-2002,Number,206000,Maryland,November,Percent,2014,Percent,0.054
179,State,2000-2002,Number,206000,Maryland,December,Percent,2014,Percent,0.052
180,State,2000-2002,Number,206000,Maryland,January,Percent,2015,Percent,0.059
181,State,2000-2002,Number,206000,Maryland,February,Percent,2015,Percent,0.057
182,State,2000-2002,Number,206000,Maryland,March,Percent,2015,Percent,0.054
183,State,2000-2002,Number,206000,Maryland,April,Percent,2015,Percent,0.048
184,State,2000-2002,Number,206000,Maryland,May,Percent,2015,Percent,0.051
185,State,2000-2002,Number,206000,Maryland,June,Percent,2015,Percent,0.053
186,State,2000-2002,Number,206000,Maryland,July,Percent,2015,Percent,0.053
187,State,2000-2002,Number,206000,Maryland,August,Percent,2015,Percent,0.05
188,State,2000-2002,Number,206000,Maryland,September,Percent,2015,Percent,0.047
189,State,2000-2002,Number,206000,Maryland,October,Percent,2015,Percent,0.048
190,State,2000-2002,Number,206000,Maryland,November,Percent,2015,Percent,0.047
191,State,2000-2002,Number,206000,Maryland,December,Percent,2015,Percent,0.044
192,State,2000-2002,Number,206000,Maryland,January,Percent,2016,Percent,0.049
193,State,2000-2002,Number,206000,Maryland,February,Percent,2016,Percent,0.048
194,State,2000-2002,Number,206000,Maryland,March,Percent,2016,Percent,0.046
195,State,2000-2002,Number,206000,Maryland,April,Percent,2016,Percent,0.041
196,State,2000-2002,Number,206000,Maryland,May,Percent,2016,Percent,0.042
197,State,2000-2002,Number,206000,Maryland,June,Percent,2016,Percent,0.047
198,State,2000-2002,Number,206000,Maryland,July,Percent,2016,Percent,0.046
199,State,2000-2002,Number,206000,Maryland,August,Percent,2016,Percent,0.046
200,State,2000-2002,Number,206000,Maryland,September,Percent,2016,Percent,0.043
201,State,2000-2002,Number,206000,Maryland,October,Percent,2016,Percent,0.044
202,State,2000-2002,Number,206000,Maryland,November,Percent,2016,Percent,0.042
203,State,2000-2002,Number,206000,Maryland,December,Percent,2016,Percent,0.041
204,State,2000-2002,Number,206000,Maryland,January,Percent,2017,Percent,0.048
205,State,2000-2002,Number,206000,Maryland,February,Percent,2017,Percent,0.046
206,State,2000-2002,Number,206000,Maryland,March,Percent,2017,Percent,0.043
207,State,2000-2002,Number,206000,Maryland,April,Percent,2017,Percent,0.039
208,State,2000-2002,Number,206000,Maryland,May,Percent,2017,Percent,0.04
209,State,2000-2002,Number,206000,Maryland,June,Percent,2017,Percent,0.044
210,State,2000-2002,Number,206000,Maryland,July,Percent,2017,Percent,0.044
211,State,2000-2002,Number,206000,Maryland,August,Percent,2017,Percent,0.043
212,State,2000-2002,Number,206000,Maryland,September,Percent,2017,Percent,0.04
213,State,2000-2002,Number,206000,Maryland,October,Percent,2017,Percent,0.04
214,State,2000-2002,Number,206000,Maryland,November,Percent,2017,Percent,0.041
215,State,2000-2002,Number,206000,Maryland,December,Percent,2017,Percent,0.04
216,State,2000-2002,Number,206000,Maryland,January,Percent,2018,Percent,0.046
217,State,2000-2002,Number,206000,Maryland,February,Percent,2018,Percent,0.045
218,State,2000-2002,Number,206000,Maryland,March,Percent,2018,Percent,0.041
219,State,2000-2002,Number,206000,Maryland,April,Percent,2018,Percent,0.037
220,State,2000-2002,Number,206000,Maryland,May,Percent,2018,Percent,0.037
221,State,2000-2002,Number,206000,Maryland,June,Percent,2018,Percent,0.043
222,State,2000-2002,Number,206000,Maryland,July,Percent,2018,Percent,0.041
223,State,2000-2002,Number,206000,Maryland,August,Percent,2018,Percent,0.04
224,State,2000-2002,Number,206000,Maryland,September,Percent,2018,Percent,0.036
225,State,2000-2002,Number,206000,Maryland,October,Percent,2018,Percent,0.036
226,State,2000-2002,Number,206000,Maryland,November,Percent,2018,Percent,0.035
227,State,2000-2002,Number,206000,Maryland,December,Percent,2018,Percent,0.036
228,State,2000-2002,Number,206000,Maryland,January,Percent,2019,Percent,0.043
229,State,2000-2002,Number,206000,Maryland,February,Percent,2019,Percent,0.04
230,State,2000-2002,Number,206000,Maryland,March,Percent,2019,Percent,0.037
231,State,2000-2002,Number,206000,Maryland,April,Percent,2019,Percent,0.032
232,State,2000-2002,Number,206000,Maryland,May,Percent,2019,Percent,0.034
233,State,2000-2002,Number,206000,Maryland,June,Percent,2019,Percent,0.039
234,State,2000-2002,Number,206000,Maryland,July,Percent,2019,Percent,0.039
235,State,2000-2002,Number,206000,Maryland,August,Percent,2019,Percent,0.037
236,State,2000-2002,Number,206000,Maryland,September,Percent,2019,Percent,0.033
237,State,2000-2002,Number,206000,Maryland,October,Percent,2019,Percent,0.033
238,State,2000-2002,Number,206000,Maryland,November,Percent,2019,Percent,0.032
239,State,2000-2002,Number,206000,Maryland,December,Percent,2019,Percent,0.03
240,State,2000-2002,Number,206000,Maryland,January,Percent,2020,Percent,0.041
241,State,2000-2002,Number,206000,Maryland,February,Percent,2020,Percent,0.041
242,State,2000-2002,Number,206000,Maryland,March,Percent,2020,Percent,0.05
243,State,2000-2002,Number,206000,Maryland,April,Percent,2020,Percent,0.095
244,State,2000-2002,Number,206000,Maryland,May,Percent,2020,Percent,0.105
245,State,2000-2002,Number,206000,Maryland,June,Percent,2020,Percent,0.088
246,State,2000-2002,Number,206000,Maryland,July,Percent,2020,Percent,0.079
247,State,2000-2002,Number,206000,Maryland,August,Percent,2020,Percent,0.067
248,State,2000-2002,Number,206000,Maryland,September,Percent,2020,Percent,0.063
249,State,2000-2002,Number,206000,Maryland,October,Percent,2020,Percent,0.06
250,State,2000-2002,Number,206000,Maryland,November,Percent,2020,Percent,0.058
251,State,2000-2002,Number,206000,Maryland,December,Percent,2020,Percent,0.057
252,State,2000-2002,Number,206000,Maryland,January,Percent,2021,Percent,0.063
253,State,2000-2002,Number,206000,Maryland,February,Percent,2021,Percent,0.061
254,State,2000-2002,Number,206000,Maryland,March,Percent,2021,Percent,0.06
255,State,2000-2002,Number,206000,Maryland,April,Percent,2021,Percent,0.057
256,State,2000-2002,Number,206000,Maryland,May,Percent,2021,Percent,0.06
257,State,2000-2002,Number,206000,Maryland,June,Percent,2021,Percent,0.067
258,State,2000-2002,Number,206000,Maryland,July,Percent,2021,Percent,0.061
259,State,2000-2002,Number,206000,Maryland,August,Percent,2021,Percent,0.062
260,State,2000-2002,Number,206000,Maryland,September,Percent,2021,Percent,0.054
261,State,2000-2002,Number,206000,Maryland,October,Percent,2021,Percent,0.052
262,State,2000-2002,Number,206000,Maryland,November,Percent,2021,Percent,0.05
263,State,2000-2002,Number,206000,Maryland,December,Percent,2021,Percent,0.047
264,State,2000-2002,Number,206000,Maryland,January,Percent,2022,Percent,0.044
265,State,2000-2002,Number,206000,Maryland,February,Percent,2022,Percent,0.044
266,State,2000-2002,Number,206000,Maryland,March,Percent,2022,Percent,0.043
267,State,2000-2002,Number,206000,Maryland,April,Percent,2022,Percent,0.034
268,State,2000-2002,Number,206000,Maryland,May,Percent,2022,Percent,0.037
269,State,2000-2002,Number,206000,Maryland,June,Percent,2022,Percent,0.047
270,State,2000-2002,Number,206000,Maryland,July,Percent,2022,Percent,0.034
271,State,2000-2002,Number,206000,Maryland,August,Percent,2022,Percent,0.035
272,State,2000-2002,Number,206000,Maryland,September,Percent,2022,Percent,0.029
273,State,2000-2002,Number,206000,Maryland,October,Percent,2022,Percent,0.031
274,State,2000-2002,Number,206000,Maryland,November,Percent,2022,Percent,0.028
275,State,2000-2002,Number,206000,Maryland,December,Percent,2022,Percent,0.025
276,State,2000-2002,Number,206000,Maryland,January,Percent,2023,Percent,0.03
277,State,2000-2002,Number,206000,Maryland,February,Percent,2023,Percent,0.031
278,State,2000-2002,Number,206000,Maryland,March,Percent,2023,Percent,0.023
279,State,2000-2002,Number,206000,Maryland,April,Percent,2023,Percent,0.019
280,State,2000-2002,Number,206000,Maryland,May,Percent,2023,Percent,0.022
281,State,2000-2002,Number,206000,Maryland,June,Percent,2023,Percent,0.017
282,State,2000-2002,Number,206000,Maryland,July,Percent,2023,Percent,0.017
283,State,2000-2002,Number,206000,Maryland,August,Percent,2023,Percent,0.018
284,State,2000-2002,Number,206000,Maryland,September,Percent,2023,Percent,
285,State,2000-2002,Number,206000,Maryland,October,Percent,2023,Percent,
286,State,2000-2002,Number,206000,Maryland,November,Percent,2023,Percent,
287,State,2000-2002,Number,206000,Maryland,December,Percent,2023,Percent,
288,State,2000-2002,Percent,0.15,Maryland,January,Percent,2000,Percent,0.037
289,State,2000-2002,Percent,0.15,Maryland,February,Percent,2000,Percent,0.038
290,State,2000-2002,Percent,0.15,Maryland,March,Percent,2000,Percent,0.035
291,State,2000-2002,Percent,0.15,Maryland,April,Percent,2000,Percent,0.032
292,State,2000-2002,Percent,0.15,Maryland,May,Percent,2000,Percent,0.036
293,State,2000-2002,Percent,0.15,Maryland,June,Percent,2000,Percent,0.036
294,State,2000-2002,Percent,0.15,Maryland,July,Percent,2000,Percent,0.038
295,State,2000-2002,Percent,0.15,Maryland,August,Percent,2000,Percent,0.038
296,State,2000-2002,Percent,0.15,Maryland,September,Percent,2000,Percent,0.034
297,State,2000-2002,Percent,0.15,Maryland,October,Percent,2000,Percent,0.033
298,State,2000-2002,Percent,0.15,Maryland,November,Percent,2000,Percent,0.035
299,State,2000-2002,Percent,0.15,Maryland,December,Percent,2000,Percent,0.033
300,State,2000-2002,Percent,0.15,Maryland,January,Percent,2001,Percent,0.041
301,State,2000-2002,Percent,0.15,Maryland,February,Percent,2001,Percent,0.039
302,State,2000-2002,Percent,0.15,Maryland,March,Percent,2001,Percent,0.038
303,State,2000-2002,Percent,0.15,Maryland,April,Percent,2001,Percent,0.037
304,State,2000-2002,Percent,0.15,Maryland,May,Percent,2001,Percent,0.037
305,State,2000-2002,Percent,0.15,Maryland,June,Percent,2001,Percent,0.04
306,State,2000-2002,Percent,0.15,Maryland,July,Percent,2001,Percent,0.042
307,State,2000-2002,Percent,0.15,Maryland,August,Percent,2001,Percent,0.044
308,State,2000-2002,Percent,0.15,Maryland,September,Percent,2001,Percent,0.041
309,State,2000-2002,Percent,0.15,Maryland,October,Percent,2001,Percent,0.041
310,State,2000-2002,Percent,0.15,Maryland,November,Percent,2001,Percent,0.044
311,State,2000-2002,Percent,0.15,Maryland,December,Percent,2001,Percent,0.042
312,State,2000-2002,Percent,0.15,Maryland,January,Percent,2002,Percent,0.051
313,State,2000-2002,Percent,0.15,Maryland,February,Percent,2002,Percent,0.047
314,State,2000-2002,Percent,0.15,Maryland,March,Percent,2002,Percent,0.047
315,State,2000-2002,Percent,0.15,Maryland,April,Percent,2002,Percent,0.045
316,State,2000-2002,Percent,0.15,Maryland,May,Percent,2002,Percent,0.044
317,State,2000-2002,Percent,0.15,Maryland,June,Percent,2002,Percent,0.047
318,State,2000-2002,Percent,0.15,Maryland,July,Percent,2002,Percent,0.047
319,State,2000-2002,Percent,0.15,Maryland,August,Percent,2002,Percent,0.045
320,State,2000-2002,Percent,0.15,Maryland,September,Percent,2002,Percent,0.04
321,State,2000-2002,Percent,0.15,Maryland,October,Percent,2002,Percent,0.04
322,State,2000-2002,Percent,0.15,Maryland,November,Percent,2002,Percent,0.044
323,State,2000-2002,Percent,0.15,Maryland,December,Percent,2002,Percent,0.042
324,State,2000-2002,Percent,0.15,Maryland,January,Percent,2003,Percent,0.048
325,State,2000-2002,Percent,0.15,Maryland,February,Percent,2003,Percent,0.048
326,State,2000-2002,Percent,0.15,Maryland,March,Percent,2003,Percent,0.046
327,State,2000-2002,Percent,0.15,Maryland,April,Percent,2003,Percent,0.043
328,State,2000-2002,Percent,0.15,Maryland,May,Percent,2003,Percent,0.044
329,State,2000-2002,Percent,0.15,Maryland,June,Percent,2003,Percent,0.049
330,State,2000-2002,Percent,0.15,Maryland,July,Percent,2003,Percent,0.048
331,State,2000-2002,Percent,0.15,Maryland,August,Percent,2003,Percent,0.045
332,State,2000-2002,Percent,0.15,Maryland,September,Percent,2003,Percent,0.043
333,State,2000-2002,Percent,0.15,Maryland,October,Percent,2003,Percent,0.042
334,State,2000-2002,Percent,0.15,Maryland,November,Percent,2003,Percent,0.043
335,State,2000-2002,Percent,0.15,Maryland,December,Percent,2003,Percent,0.04
336,State,2000-2002,Percent,0.15,Maryland,January,Percent,2004,Percent,0.047
337,State,2000-2002,Percent,0.15,Maryland,February,Percent,2004,Percent,0.045
338,State,2000-2002,Percent,0.15,Maryland,March,Percent,2004,Percent,0.044
339,State,2000-2002,Percent,0.15,Maryland,April,Percent,2004,Percent,0.04
340,State,2000-2002,Percent,0.15,Maryland,May,Percent,2004,Percent,0.041
341,State,2000-2002,Percent,0.15,Maryland,June,Percent,2004,Percent,0.046
342,State,2000-2002,Percent,0.15,Maryland,July,Percent,2004,Percent,0.046
343,State,2000-2002,Percent,0.15,Maryland,August,Percent,2004,Percent,0.043
344,State,2000-2002,Percent,0.15,Maryland,September,Percent,2004,Percent,0.04
345,State,2000-2002,Percent,0.15,Maryland,October,Percent,2004,Percent,0.041
346,State,2000-2002,Percent,0.15,Maryland,November,Percent,2004,Percent,0.042
347,State,2000-2002,Percent,0.15,Maryland,December,Percent,2004,Percent,0.041
348,State,2000-2002,Percent,0.15,Maryland,January,Percent,2005,Percent,0.046
349,State,2000-2002,Percent,0.15,Maryland,February,Percent,2005,Percent,0.047
350,State,2000-2002,Percent,0.15,Maryland,March,Percent,2005,Percent,0.043
351,State,2000-2002,Percent,0.15,Maryland,April,Percent,2005,Percent,0.039
352,State,2000-2002,Percent,0.15,Maryland,May,Percent,2005,Percent,0.041
353,State,2000-2002,Percent,0.15,Maryland,June,Percent,2005,Percent,0.044
354,State,2000-2002,Percent,0.15,Maryland,July,Percent,2005,Percent,0.044
355,State,2000-2002,Percent,0.15,Maryland,August,Percent,2005,Percent,0.04
356,State,2000-2002,Percent,0.15,Maryland,September,Percent,2005,Percent,0.039
357,State,2000-2002,Percent,0.15,Maryland,October,Percent,2005,Percent,0.039
358,State,2000-2002,Percent,0.15,Maryland,November,Percent,2005,Percent,0.039
359,State,2000-2002,Percent,0.15,Maryland,December,Percent,2005,Percent,0.036
